Kategory; Name; Dauer; Größe; Codec; Aspect Ratio; Auflösung; Kompressionsrate
;IRON MAN;02:05:57;23,26;vc1;16:9;1920x1080;11,09
;IRON MAN 2;02:04:50;23,39;vc1;16:9;1920x1080;11,25
;IRON MAN 3;02:10:45;35,21;h264;16:9;1920x1080;16,17
;SPIDER MAN FAR FROM HOME;02:09:23;29,8;h264;16:9;1920x1080;13,83
;SPIDER MAN HOMECOMING;02:13:28;32,61;h264;16:9;1920x1080;14,67
;THOR;01:54:50;30,04;h264;16:9;1920x1080;15,71
;THOR RAGNAROK;02:10:30;31,02;h264;16:9;1920x1080;14,28
;THOR THE DARK WORLD;01:52:04;29,34;h264;16:9;1920x1080;15,72
Marvel;Venom;01:52:20;25,78;h264;16:9;1920x1080;13,78
;Venom 3D;01:52:20;32,99;h264;16:9;1920x1080;17,64
Men in Black;Men in Black I;01:37:58;20,86;h264;16:9;1920x1080;12,79
;Men in Black II;01:28:08;18,36;h264;16:9;1920x1080;12,51
;Men in Black III;01:45:50;26,47;h264;16:9;1920x1080;15,02
Filme;Mission Impossible;01:50:12;16,95;mpeg2video;16:9;1920x1080;9,24
;Mission Impossible;02:03:35;16,43;mpeg2video;16:9;1920x1080;7,98
;Mission Impossible;02:05:24;19,94;mpeg2video;16:9;1920x1080;9,55
;Mission Impossible;02:12:56;34,29;h264;16:9;1920x1080;15,49
;Mission Impossible;02:11:33;29,05;h264;16:9;1920x1080;13,26
;Mission Impossible;02:27:24;35,32;h264;16:9;1920x1080;14,39
Star Trek;Star Trek;02:06:50;34,1;h264;16:9;1920x1080;16,15
;Star Trek Beyond;02:02:22;28,4;h264;16:9;1920x1080;13,94
;Star Trek Into Darkness;02:12:05;34,28;h264;16:9;1920x1080;15,59
Star Wars;Star Wars I;02:16:10;35,52;h264;16:9;1920x1080;15,67
;Star Wars II;02:22:27;35,32;h264;16:9;1920x1080;14,89
;Star Wars III;02:20:05;35,59;h264;16:9;1920x1080;15,26
;Star Wars IV;02:04:44;34,85;h264;16:9;1920x1080;16,78
;Star Wars IX;02:21:53;40,94;h264;16:9;1920x1080;17,33
;Star Wars Rogue One;02:13:57;40,17;h264;16:9;1920x1080;18,01
;Star Wars Solo;02:14:46;38,43;h264;16:9;1920x1080;17,13
;Star Wars V;02:07:21;35,28;h264;16:9;1920x1080;16,64
;Star Wars VI;02:14:47;35,27;h264;16:9;1920x1080;15,72
